Gemeindestraßen nach Gemeindebezirken 2018;;;;;
Gemeindebezirk;Insgesamt;Gesamtlänge;Gemeindestraßen;;
;;;Gesamtfläche;unbefestigte Flächen
 bzw. Grünflächen;befestigte,
ausgebaute Flächen
;;;;;
;;;;;
;;m;m²;;
Wien;6910;2786219;41147664;5605667;35541997
1. Innere Stadt;288;54269;1041270;70548;970722
2. Leopoldstadt;267;104131;2088714;373548;1715166
3. Landstraße;274;92233;1536277;102068;1434209
4. Wieden;109;28786;454055;20938;433117
5. Margareten;109;37769;625179;29961;595218
6. Mariahilf;98;27474;420744;19528;401216
7. Neubau;63;25433;384163;17335;366828
8. Josefstadt;71;19591;296076;13898;282178
9. Alsergrund;169;46562;802964;45282;757682
10. Favoriten;475;208979;3464816;464706;3000110
11. Simmering;298;136162;2305706;465664;1840042
12. Meidling;264;100774;1674434;186063;1488371
13. Hietzing;377;148326;1901423;272142;1629281
14. Penzing;469;192514;2264399;262725;2001674
15. Rudolfsheim-Fünfhaus;190;66283;1007976;56248;951728
16. Ottakring;252;100390;1409853;97755;1312098
17. Hernals;237;86314;1073546;95749;977797
18. Währing;174;72847;993470;93244;900226
19. Döbling;366;170024;2216780;271390;1945390
20. Brigittenau;151;62281;1234727;167879;1066848
21. Floridsdorf;708;304175;4357663;720687;3636976
22. Donaustadt;908;453153;6191086;1355455;4835631
23. Liesing;593;247749;3402343;402854;2999489
Quelle: MA 28.;;;;;
