W0004;;;;;;;;vormals F0034
Bezirksvertretungswahlen – Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2015;;;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung;;
;insgesamt;Geschlecht;;insgesamt;darunter…;;;
;;Männer;Frauen;;gültig;%;;
Wien;1327311;626846;700465;873268;850670;65,79;;
1. Innere Stadt;13193;6286;6907;9281;9151;70,3479117713939;;
2. Leopoldstadt;71845;34570;37275;25143;25010;35;;
3. Landstraße;66911;31277;35634;45190;44211;67,5374751535622;;
4. Wieden;24954;11867;13087;17097;16810;68,5140658812214;;
5. Margareten;39556;19093;20463;24609;23956;62,2130650217413;;
6. Mariahilf;24887;12017;12870;16956;16642;68,1319564431229;;
7. Neubau;25100;11934;13166;17720;17463;70,597609561753;;
8. Josefstadt;19184;9065;10119;13967;13758;72,8054628857381;;
9. Alsergrund;32080;15034;17046;22059;21561;68,7624688279302;;
10. Favoriten;128910;61785;67125;80208;77493;62,2201535955318;;
11. Simmering;67845;32446;35399;44952;43578;66,2569091311077;;
12. Meidling;65254;30812;34442;40742;39433;62,4360192478622;;
13. Hietzing;42228;19057;23171;31785;31185;75,2699630576868;;
14. Penzing;68218;31878;36340;47389;45963;69,4670028438242;;
15. Rudolfsheim-Fünfhaus;51727;25125;26602;29595;28898;57,2138341678427;;
16. Ottakring;70455;33531;36924;44335;43131;62,9266907955433;;
17. Hernals;40260;19094;21166;25981;25287;64,5330352707402;;
18. Währing;37982;17231;20751;26873;26420;70,7519351271655;;
19. Döbling;54489;24591;29898;39090;38295;71,7392501238782;;
20. Brigittenau;57024;27217;29807;35110;34159;61,5705667789001;;
21. Floridsdorf;115378;54705;60673;81348;78991;70,5056423234932;;
22. Donaustadt;133900;63008;70892;97270;94131;72,6437640029873;;
23. Liesing;75931;35223;40708;56579;55136;74,5137032305646;;
Quelle: Stadtwahlbehörde.;;;;;;;;
