Wiener Festwochen – Vorstellungen und Besuche 2023;;;;;
Veranstaltungen;"Vorstellungen
(1)";Besuche;davon …;;
;;;"Oper, Operette, 
Musical, Show, 
Tanz, Ballett";"Sprechstück, 
Kabarett";"Konzert 
(E-Musik und
U-Musik)"
Wiener Festwochen;152;40495;19543;19614;1338
MuseumsQuartier Halle E;13;8716;7274;1442;–
Museumsquartier Halle G;15;4241;2879;1362;–
Volkstheater;7;3637;–;3637;–
Burgtheater;3;3352;–;3352;–
Akademietheater;5;1863;–;1863;–
Jugendstiltheater am Steinhof;13;3295;823;2472;–
Theater Nestroyhof Hamakom;9;931;–;931;–
Schauspielhaus Wien;4;492;492;–;–
brut nordwest;6;987;606;381;–
Theater Akzent;6;2244;–;2244;–
Odeon;17;2791;861;1930;–
Porgy & Bess;6;1338;–;–;1338
Metropol;3;915;915;–;–
Parlament;24;361;361;–;–
Volksoper;2;2400;2400;–;–
Semperdepot;19;2932;2932;–;–
Quelle: Wiener Festwochen GesmbH.;;;;;
(1) Im Allgemeinen Werke von lebenden Autoren/Autorinnen, Komponisten/Komponistinnen etc.;;;;;
