Ausgewählte nationale Preisindizes 2022 – Monatsübersicht;;;;;;
Monat;"Lebenshaltungskostenindex für eine
vierköpfige ArbeiterInnenfamilie (1)";;;VPI 2010;VPI 2015;VPI 2020
;April 1938 = 100;April 1945 = 100;1958 = 100;Ø 2010 = 100;Ø 2015 = 100;Ø 2020 = 100
2022;5773,4;6797,3;776,2;133,6;120,7;111,6
Jänner;5449,9;6416,5;732,7;126,1;113,9;105,3
Februar;5517,2;6495,7;741,7;127,7;115,3;106,6
März;5631,1;6629,7;757;130,3;117,7;108,8
April;5646,6;6648;759,1;130,7;118;109,1
Mai;5693,2;6702,9;765,4;131,8;119;110
Juni;5770,8;6794,3;775,8;133,6;120,6;111,5
Juli;5827,7;6861,3;783,5;134,9;121,8;112,6
August;5827,7;6861,3;783,5;134,9;121,8;112,6
September;5926,1;6977,1;796,7;137,2;123,9;114,5
Oktober;5983;7044,1;804,3;138,5;125,1;115,6
November;5998,5;7062,4;806,4;138,8;125,4;115,9
Dezember;6008,9;7074,6;807,8;139,1;125,6;116,1
Quelle: Statistik Austria – Verbraucherpreisindex.;;;;;;
"VPI = Verbraucherpreisindex (Bundes-Index).
(1) 1958: Verbraucherpreisindex vierköpfiger ArbeitnehmerInnenhaushalte für das Gesamtjahr.";;;;;;
