Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien 2022;;;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;"Beschäftigte im
Jahresdurchschnitt";"Bruttlöhne
und -gehälter";"Bruttoinvestitionen
in Sachanlagen";Umsatzerlöse;Bruttowert-schöpfung
;;;1.000 EUR;;;
Insgesamt;4184;56337;3133241;538943;36529976;6607595
Nahrungs- und Futtermittel;647;7431;253691;49559;1705733;406897
Getränkeherstellung;63;835;47958;31635;445573;99584
Textilien;101;373;8734;1028;52572;14175
Bekleidung;322;519;5286;256;26133;8580
Leder/-waren und Schuhe;61;205;3874;816;14882;5847
Holzwaren_ Korbwaren;146;683;19766;1232;83578;33468
Papier/Pappe und Waren daraus;38;1337;69667;10142;756781;167414
Druckerzeugnisse;234;1609;72444;12487;271158;116109
Kokerei und Mineralölverarbeitung;4;;;;;
Chemische Erzeugnisse;130;1883;135667;31771;9624440;877001
Pharmazeutische Erzeugnisse;74;6886;465869;184486;2184321;972282
Gummi- und Kunststoffwaren;80;1129;50441;7023;347050;73066
Glas(-waren), Keramik u. Ä.;176;1133;50020;26501;300673;70227
Metallerzeugung und -bearbeitung;14;;;;;
Metallerzeugnisse;379;3276;134290;19474;697490;231094
Datenverarbeitungsgeräte;151;2113;129308;7225;665956;245523
Elektrische Ausrüstungen;118;5423;384960;32766;1831151;598724
Maschinenbau;142;3538;225275;22264;1038978;319887
Kraftwagen und -teile;19;2056;115118;18616;1000659;227374
Sonstiger Fahrzeugbau;25;3545;251635;23797;1119267;250586
Möbel;209;805;22724;3265;121190;48511
Sonstige Waren;706;3632;145779;13985;4192562;335097
Reparatur/Installation von Maschinen;345;7030;446541;35853;2125826;782882
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2022.;;;;;;
